# LR rup_force
3.771830084389700000e-09 4.546733823241680425e-10
3.913130434975314950e-09 4.741422088092992540e-10
4.089461170249852903e-09 4.993775004899038342e-10
4.256099821054119516e-09 5.242821138483818684e-10
3.977890732732651069e-09 4.832840242908276112e-10
3.863910646995653079e-09 4.672878663435970668e-10
3.982908394806222846e-09 4.839983252618897941e-10
4.182568510899836583e-09 5.131591777873675292e-10
3.588764265898263342e-09 4.303521501542009218e-10
3.570441750071987117e-09 4.279702573078544544e-10
4.048604517390212630e-09 4.934322767541606926e-10
4.023234467432417968e-09 4.897710030877089553e-10
3.714649015236854116e-09 4.469715027513285736e-10
3.878621989933986816e-09 4.693282522086784579e-10
3.839495972710873800e-09 4.639170968299046892e-10
3.883536179786344991e-09 4.700113946978042698e-10
3.453403063547005546e-09 4.129662868064527700e-10
4.038441192827957315e-09 4.919627880152506840e-10
3.475633685212851043e-09 4.157887611919412335e-10
3.898309941002687757e-09 4.720699263070105923e-10
3.903244916678358077e-09 4.727591532247985323e-10
4.172143190077041505e-09 5.115995081932762009e-10
4.023234467432417968e-09 4.897710030877089553e-10
4.038441192827957315e-09 4.919627880152506840e-10
3.556755282474202775e-09 4.261969937018084159e-10
3.972878214943636787e-09 4.825713257860396762e-10
3.344221952109661760e-09 3.992825808853988826e-10
4.104865993187940676e-09 5.016350756800868254e-10
4.156542572481741883e-09 5.092734806776202915e-10
4.058788210696686553e-09 4.949084515566013210e-10
4.422302070703534315e-09 5.502543278625543290e-10
4.038441192827957315e-09 4.919627880152506840e-10
4.203478741343544198e-09 5.163002807267685087e-10
3.728873318394872225e-09 4.488782444544942319e-10
4.089461170249852903e-09 4.993775004899038342e-10
4.161737789509555952e-09 5.100470336440791680e-10
3.992959138219747808e-09 4.854317538694055154e-10
4.068992239885170041e-09 4.963913530819985468e-10
4.193013709205722940e-09 5.147260869940844815e-10
4.110011029234037984e-09 5.023910504953307257e-10
4.166937997117815992e-09 5.108223743101355383e-10
3.859017282917956600e-09 4.666107368085054753e-10
3.752685656928187346e-09 4.520837855138295119e-10
4.151352351166907893e-09 5.085017099144751277e-10
3.695756958172464138e-09 4.444483052484653051e-10
3.648895586312576154e-09 4.382343936887027630e-10
3.859017282917956600e-09 4.666107368085054753e-10
3.829766636116816770e-09 4.625791427337391913e-10
4.079216571237431306e-09 4.978810222993204996e-10
3.863910646995653079e-09 4.672878663435970668e-10
4.172143190077041505e-09 5.115995081932762009e-10
3.903244916678358077e-09 4.727591532247985323e-10
3.937934907724224324e-09 4.776269048487776318e-10
3.570441750071987117e-09 4.279702573078544544e-10
3.962868625718829426e-09 4.811507170166962344e-10
4.104865993187940676e-09 5.016350756800868254e-10
4.038441192827957315e-09 4.919627880152506840e-10
3.709918104540662141e-09 4.463386621572522010e-10
3.502484339832016559e-09 4.192147191433257231e-10
3.644238444848351140e-09 4.376202895374123572e-10
3.644238444848351140e-09 4.376202895374123572e-10
4.063887685400890645e-09 4.956490589256580167e-10
3.155897603735117399e-09 3.768345052115828635e-10
3.957871560873455602e-09 4.804427972175530276e-10
3.757463888249289737e-09 4.527290755558964548e-10
4.013122203522666275e-09 4.883180536288312391e-10
4.166937997117815992e-09 5.108223743101355383e-10
3.648895586312576154e-09 4.382343936887027630e-10
4.130641524669721864e-09 5.054323397061016555e-10
3.588764265898263342e-09 4.303521501542009218e-10
3.883536179786344991e-09 4.700113946978042698e-10
3.305718810733562698e-09 3.945252240361985764e-10
3.164018839958957160e-09 3.778111925145618414e-10
3.489035289370738983e-09 4.174963840597125522e-10
3.020937675676650901e-09 3.608035693407339660e-10
3.844368473881210885e-09 4.645882838391368032e-10
3.829766636116816770e-09 4.625791427337391913e-10
3.967870844843173804e-09 4.818602249533998476e-10
4.063887685400890645e-09 4.956490589256580167e-10
3.878621989933986816e-09 4.693282522086784579e-10
4.213963562808014652e-09 5.178818042475925349e-10
3.691047107899944490e-09 4.438208948908000406e-10
4.125476357620212156e-09 5.046693982506415179e-10
3.844368473881210885e-09 4.645882838391368032e-10
3.918080972080920646e-09 4.748360465938585952e-10
3.691047107899944490e-09 4.438208948908000406e-10
3.927997588245982431e-09 4.762283650694445777e-10
3.967870844843173804e-09 4.818602249533998476e-10
4.224468128206385541e-09 5.194707031708249093e-10
4.261388914839554807e-09 5.250905976288319510e-10
4.013122203522666275e-09 4.883180536288312391e-10
3.767036103438582205e-09 4.540238698770812430e-10
4.008073748856899829e-09 4.875940361700037072e-10
3.947892906734470067e-09 4.790317030871253893e-10
3.992959138219747808e-09 4.854317538694055154e-10
3.977890732732651069e-09 4.832840242908276112e-10
4.166937997117815992e-09 5.108223743101355383e-10
4.094591059134126969e-09 5.001283059367096717e-10
3.771830084389700000e-09 4.546733823241680425e-10
4.003030417327708441e-09 4.868716503229731909e-10
4.172143190077041505e-09 5.115995081932762009e-10
4.193013709205722940e-09 5.147260869940844815e-10
1.815147515660319751e-09 2.301127093966012321e-10
4.074101869943495789e-09 4.971353391564413406e-10
3.957871560873455602e-09 4.804427972175530276e-10
4.151352351166907893e-09 5.085017099144751277e-10
3.967870844843173804e-09 4.818602249533998476e-10
4.094591059134126969e-09 5.001283059367096717e-10
4.362801918389063422e-09 5.408189669120750739e-10
4.406018283928181716e-09 5.476563965279677354e-10
3.815211826555160622e-09 4.605831968091822327e-10
4.110011029234037984e-09 5.023910504953307257e-10
4.018175777623164435e-09 4.890437076212706973e-10
3.947892906734470067e-09 4.790317030871253893e-10
4.287907491262178889e-09 5.291615797603061863e-10
3.556755282474202775e-09 4.261969937018084159e-10
4.198243748836514765e-09 5.155122704740109812e-10
4.213963562808014652e-09 5.178818042475925349e-10
4.028298269121501292e-09 4.904999449871904619e-10
3.547657359621360510e-09 4.250210300158472131e-10
4.023234467432417968e-09 4.897710030877089553e-10
3.893380157885864432e-09 4.713822272550625422e-10
3.937934907724224324e-09 4.776269048487776318e-10
