# LR rup_force class
4.114272455790628718e-09 5.023910504953307257e-10 1.000000000000000000e+00
6.298622850471497901e-10 1.197995964472105084e-10 2.000000000000000000e+00
4.276698112348325624e-09 5.267132599466476559e-10 1.000000000000000000e+00
4.098810832176200119e-09 5.001283059367096717e-10 1.000000000000000000e+00
8.231968432793300311e-10 1.443764455067644276e-10 2.000000000000000000e+00
3.342423350790486008e-09 3.987496770382566708e-10 1.000000000000000000e+00
4.207998771442083154e-09 5.163002807267685087e-10 1.000000000000000000e+00
4.037424339923651023e-09 4.912305382975012007e-10 1.000000000000000000e+00
1.055763803694952159e-09 1.520721133486324813e-10 3.000000000000000000e+00
1.116651547414199019e-09 1.796460139257647350e-10 2.000000000000000000e+00
4.250176185194080729e-09 5.226708114618234657e-10 1.000000000000000000e+00
3.736947665898405252e-09 4.495165781971288153e-10 1.000000000000000000e+00
3.541476438609355037e-09 4.238500034808022697e-10 1.000000000000000000e+00
6.751217819441478331e-10 1.256751615186375823e-10 2.000000000000000000e+00
1.292776672427971770e-09 1.763918810106675195e-10 3.000000000000000000e+00
4.027265138572783142e-09 4.897710030877089553e-10 1.000000000000000000e+00
4.181800042293389625e-09 5.123784408322888890e-10 1.000000000000000000e+00
4.042511663670038130e-09 4.919627880152506840e-10 1.000000000000000000e+00
4.250176185194080729e-09 5.226708114618234657e-10 1.000000000000000000e+00
1.256709412176678585e-09 1.961534436931123869e-10 2.000000000000000000e+00
3.661378569362664850e-09 4.394665464542898076e-10 1.000000000000000000e+00
4.098810832176200119e-09 5.001283059367096717e-10 1.000000000000000000e+00
1.139855880599723399e-09 1.606020700242105289e-10 3.000000000000000000e+00
1.229842205486190671e-09 1.699130986974871738e-10 3.000000000000000000e+00
4.093667148696972894e-09 4.993775004899038342e-10 1.000000000000000000e+00
3.694273046531362903e-09 4.438208948908000406e-10 1.000000000000000000e+00
4.047604131059098849e-09 4.926966991559633564e-10 1.000000000000000000e+00
1.096356053972660115e-09 1.774871939991204693e-10 2.000000000000000000e+00
1.122312707549037479e-09 1.803172225865365467e-10 2.000000000000000000e+00
4.266074540998710464e-09 5.250905976288319510e-10 1.000000000000000000e+00
9.565233957281501858e-10 1.607075928283023335e-10 2.000000000000000000e+00
3.921843696430683515e-09 4.748360465938585952e-10 1.000000000000000000e+00
1.155126272863343439e-09 1.621867864579361863e-10 3.000000000000000000e+00
1.083153998566714747e-09 1.759146363332089566e-10 2.000000000000000000e+00
3.638041706974530195e-09 4.363960069996068199e-10 1.000000000000000000e+00
3.741715773523733736e-09 4.501562951636536644e-10 1.000000000000000000e+00
1.191758364768048923e-09 1.659802307999336146e-10 3.000000000000000000e+00
4.223777992553869691e-09 5.186753289191726127e-10 1.000000000000000000e+00
